Entity,Code,Year,"Meat, game | 00001163 || Production | 005510 || tonnes","Meat, horse | 00001097 || Production | 005510 || tonnes","Meat, camel | 00001127 || Production | 005510 || tonnes","Meat, sheep and goat | 00001807 || Production | 005510 || tonnes","Meat, beef and buffalo | 00001806 || Production | 005510 || tonnes","Meat, pig | 00001035 || Production | 005510 || tonnes","Meat, poultry | 00001808 || Production | 005510 || tonnes"
Africa,,1970,469390,11620.45,80060.75,917034,2297769,259483.62,585661
Africa,,1971,475540,13103.65,77688.75,933212,2300284,268502.94,610967
Africa,,1972,478300,13214.8,83726,956498,2354015,289565.44,658223
Africa,,1973,464310,13816.85,81147.75,892557,2439858,301139.12,702819
Africa,,1974,474780,12594.45,80708.75,860952,2473958,294228.94,714300
Africa,,1975,487660,11778.5,73081.5,903810,2396760,298313.34,783400
Africa,,1976,489320,12248,75962.1,940982,2508742,311548.8,851818
Africa,,1977,509770,13664.4,77271.75,983696,2638957,323250.38,898026
Africa,,1978,516580,12325.5,76689.75,1043147,2806802,327678.84,953466
Africa,,1979,527991,13475.7,78527.5,1069201,2875073,329662.78,985963
Africa,,1980,546790,13836.5,83521.1,1105297,2926097,342197.7,1039275
Africa,,1981,562300,15529.25,85504.3,1138930,2872740,361315.78,1106355
Africa,,1982,579275,13366.75,102168.05,1152064,3002668,373641.56,1188624
Africa,,1983,592175,12791.45,104495.45,1178907,3090333,382538.22,1304816
Africa,,1984,605725,9798.6,113265.9,1186963,3140928,401875.47,1398717
Africa,,1985,616925,10441.78,112013.64,1199784,3164111,417523.34,1474597
Africa,,1986,637450,10094.68,112112.87,1201413,3081255,448220.2,1567057
Africa,,1987,649325,10620.75,102226.15,1301321,3053321,487233.1,1649940
Africa,,1988,660750,11580.08,111492.35,1388487,3078989,507847.78,1667212
Africa,,1989,674625,12235.9,124861.89,1449757,3141787,561242.94,1735264
Africa,,1990,681351,12994.78,132293.66,1460161,3252594,629243.56,1947638
Africa,,1991,671418.06,13300.85,136010.7,1463180.9,3912104.8,664042.3,1958167.1
Africa,,1992,635306,12956.07,134951.55,1472820.5,4066638.2,704113.2,2002288.8
Africa,,1993,699431,13112.81,120541.62,1416565.4,3912328.8,728043.75,2021565.2
Africa,,1994,714209.5,13321.28,127791.66,1417414.5,3856891.8,747030.9,2134366.5
Africa,,1995,728878.56,13498.27,132362.42,1455758.5,3884953.2,805461.1,2283890
Africa,,1996,741172.75,13663.54,136229.75,1502113.8,3991737.2,823973.3,2407523.8
Africa,,1997,755475,13417.8,130693.27,1553036,4362528,854210,2648895.8
Africa,,1998,773744.3,13514.36,133893.56,1613471.9,4218777,871674.4,2680319.2
Africa,,1999,787423.06,13697.45,139613.02,1684292.6,4447613,886978,2774421
Africa,,2000,804970.06,14120.85,135737.6,1690430.2,4407598,922309.4,2936073.2
Africa,,2001,822130.7,14973.91,145501.39,1772751.2,4420724,952254,3177115
Africa,,2002,837787.4,15033.12,142985.98,1800449.9,4664672,998249.06,3370287.5
Africa,,2003,857753.8,15414.25,148443.89,1853330,4678716.5,1026935.7,3357445.2
Africa,,2004,877440.44,15568.5,151162.9,1922013,4759086,1085483.8,3396491.5
Africa,,2005,895126.9,15666.8,143485.84,1985652.9,5025871,1129502.8,3547877
Africa,,2006,915255.06,15336.29,143214.44,2063005.8,5169199,1159117.2,3594433.8
Africa,,2007,932163.5,15948.12,183562.94,2151834.2,5295580.5,1199242.1,4010014
Africa,,2008,973351.3,16537,202091.25,2158938,5475314,1249272,4276293
Africa,,2009,1002563.6,16829.58,186456.69,2240055.8,5650099.5,1264920.2,4449193.5
Africa,,2010,1034786.3,16915.09,201317.05,2358418.2,5934083,1310020.4,4743807
Africa,,2011,1077370.9,17098.3,204761.88,2390571.5,6037875.5,1361972.2,4861809
Africa,,2012,1101722.8,16905.66,351362.12,2819672.5,6424041,1439150.9,5025196
Africa,,2013,1103113.1,16628.21,351585.16,2915358.5,6703860,1499114.4,5392219.5
Africa,,2014,1114328.4,16381.99,350399.4,2983449.8,6692447.5,1566122.8,5625063.5
Africa,,2015,1160049.6,16565.96,358091.53,3070276,6938621.5,1606592.9,5787901
Africa,,2016,1141786.9,17208.23,351480.78,3118449.8,6627145,1644825.9,5781860
Africa,,2017,1160185.9,17428.05,356028.6,3075916,6656297.5,1717980.2,6247534.5
Africa,,2018,1171662.5,17378.44,350407.1,3178170,6839728,1887407.4,6596241
Africa,,2019,1176638.5,17507.56,386811.62,3326883.8,7034487,1859770.5,6855848.5
Africa,,2020,1188425.9,17756.37,365120.47,3411807.8,6904589,1887560.2,7329308
Africa,,2021,1208008.8,17889.22,345818.12,3434959,7041179.5,2014684.6,7650363
Africa (FAO),,1961,393610,8306,69009,777950,1960373,184915,361473
Africa (FAO),,1962,398040,8961,71466,782784,1971816,190930,377683
Africa (FAO),,1963,405720,8847,76800,779860,2037820,195044,392366
Africa (FAO),,1964,422590,9528,78751,802414,2114745,206642,415618
Africa (FAO),,1965,429630,10261,85155,841489,2163356,212582,435546
Africa (FAO),,1966,434120,9781,96052,878200,2226575,217894,464091
Africa (FAO),,1967,453020,10071,96976,904721,2228215,232148,493597
Africa (FAO),,1968,466890,10526,100984,957199,2292022,239929,521712
Africa (FAO),,1969,470610,10331,101563,1000206,2386285,257229,565861
Africa (FAO),,1970,475290,11620,103686,998133,2443793,259484,598260
Africa (FAO),,1971,481540,13104,102664,1015188,2449608,268503,623765
Africa (FAO),,1972,484400,13215,108701,1039348,2509114,289565,671183
Africa (FAO),,1973,470510,13817,106798,981457,2608156,301139,715909
Africa (FAO),,1974,481180,12594,104289,955517,2643082,294229,727701
Africa (FAO),,1975,494160,11779,99632,1005274,2577435,298313,796949
Africa (FAO),,1976,495920,12248,102962,1047576,2697665,311549,865468
Africa (FAO),,1977,516370,13664,104497,1093146,2836956,323250,911824
Africa (FAO),,1978,523280,12326,102565,1158046,3013051,327679,967865
Africa (FAO),,1979,533991,13476,104403,1192147,3100957,329663,1000962
Africa (FAO),,1980,552790,13837,116146,1231515,3161221,342198,1055573
Africa (FAO),,1981,568300,15529,112504,1259929,3128712,361316,1124855
Africa (FAO),,1982,585275,13367,128043,1245261,3250169,373642,1207122
Africa (FAO),,1983,598175,12791,128120,1273505,3321233,382538,1323815
Africa (FAO),,1984,611725,9799,137116,1287863,3402326,401875,1417716
Africa (FAO),,1985,623425,10442,136764,1303484,3431210,417523,1494096
Africa (FAO),,1986,644250,10095,131913,1290513,3328755,448220,1587055
Africa (FAO),,1987,656325,10621,124051,1392921,3263020,487233,1670438
Africa (FAO),,1988,667650,11580,134171,1487722,3284238,507848,1687668
Africa (FAO),,1989,681825,12236,148562,1551889,3352728,561243,1756292
Africa (FAO),,1990,688851,12995,156160,1564808,3470764,629244,1969253
Africa (FAO),,1991,679018.06,13300.85,159348.72,1587258.9,4143536.8,664042.3,1980587.1
Africa (FAO),,1992,643106,12956.08,165776.55,1625820.5,4292638,704113.2,2025388.8
Africa (FAO),,1993,707301,13112.81,158791.61,1595565.4,4127328.8,728043.75,2045165.2
Africa (FAO),,1994,722109.5,13321.28,173466.66,1622281.5,4069239.8,747030.9,2158366.5
Africa (FAO),,1995,736878.56,13498.27,185462.44,1692671.5,4109703.2,805461.1,2308890
Africa (FAO),,1996,749372.8,13663.54,196754.73,1744433.8,4218142,823973.4,2434323.8
Africa (FAO),,1997,763775,13417.79,198643.27,1830036,4612528,854210,2673895.8
Africa (FAO),,1998,782244.3,13514.36,209393.56,1941471.9,4483777,871674.4,2705319.2
Africa (FAO),,1999,796123.06,13697.46,218613.02,2048292.6,4723613,886978,2799921
Africa (FAO),,2000,813660.06,14120.86,216737.6,2073430.2,4703598,922309.4,2962073.2
Africa (FAO),,2001,831030.7,14973.91,227001.38,2172751.2,4740724,952254,3203615
Africa (FAO),,2002,846643.4,15033.11,223485.98,2214449.8,4989672,998249.06,3397287.5
Africa (FAO),,2003,866753.9,15414.24,232443.9,2273330,5018717,1026935.7,3386445.2
Africa (FAO),,2004,886461.44,15568.49,239162.9,2346013,5099086,1085483.8,3433491.5
Africa (FAO),,2005,904226.9,15666.79,204485.86,2455653,5375871,1129502.8,3578377
Africa (FAO),,2006,924255.1,15336.28,244214.44,2510005.8,5519199,1159117.2,3619433.8
Africa (FAO),,2007,941322.5,15948.12,289562.94,2603864.2,5635580.5,1199242.1,4037014
Africa (FAO),,2008,982401.3,16537,321491.25,2639138,5815314,1249272,4303293
Africa (FAO),,2009,1011945.6,16829.58,311056.7,2704055.8,5991099.5,1264920.2,4477194
Africa (FAO),,2010,1044326.3,16915.08,329817.03,2834418.2,6277083,1310020.4,4781807
Africa (FAO),,2011,1087170.9,17098.3,343761.88,2876071.5,6382875.5,1361972.2,4901809
Africa (FAO),,2012,1101722.8,16905.65,351362.12,2819672.5,6424041,1439150.9,5025196
Africa (FAO),,2013,1103113.1,16628.21,351585.16,2915358.5,6703860,1499114.4,5392219.5
Africa (FAO),,2014,1114328.4,16382,350399.4,2983449.8,6692447.5,1566122.8,5625063.5
Africa (FAO),,2015,1160049.6,16565.96,358091.53,3070276.2,6938621.5,1606592.9,5787901
Africa (FAO),,2016,1141786.9,17208.24,351480.78,3118449.5,6627145,1644825.9,5781860
Africa (FAO),,2017,1160185.9,17428.05,356028.62,3075916,6656297.5,1717980.2,6247534.5
Africa (FAO),,2018,1171662.5,17378.43,350407.1,3178170,6839728,1887407.4,6596241
Africa (FAO),,2019,1176638.5,17507.55,386811.62,3326883.5,7034487,1859770.5,6855848.5
Africa (FAO),,2020,1188425.9,17756.38,365120.44,3411807.8,6904589,1887560.2,7329308
Africa (FAO),,2021,1208008.9,17889.23,345818.16,3434958.8,7041179.5,2014684.6,7650363
Albania,ALB,2019,,0,0,24887.96,36709.36,10231.68,13127.24
Albania,ALB,2020,,0,0,23668.53,32869.95,9002.01,13787.41
Albania,ALB,2021,,0,0,22933,31712,9370,14486
Albania,ALB,1961,,,,13000,7300,3580,1530
Albania,ALB,1962,,,,13100,7400,3640,1580
Albania,ALB,1963,,,,12500,7600,3200,1700
Albania,ALB,1964,,,,12600,6000,3200,1900
Albania,ALB,1965,,,,12600,6600,3640,2385
Albania,ALB,1966,,,,12800,6900,4300,2900
Albania,ALB,1967,,,,16200,8460,4880,3000
Albania,ALB,1968,,,,14050,7400,5570,3200
Albania,ALB,1969,,,,12100,8900,6100,3400
Albania,ALB,1970,,,,11600,9900,6280,3400
Albania,ALB,1971,,,,11725,10700,6440,3800
Albania,ALB,1972,,,,11160,10600,6560,3900
Albania,ALB,1973,,,,11150,10500,6160,4300
Albania,ALB,1974,,,,11400,10900,6400,4750
Albania,ALB,1975,,,,11600,9900,6400,5300
Albania,ALB,1976,,,,11900,12270,6600,5900
Albania,ALB,1977,,,,11340,11200,6800,6300
Albania,ALB,1978,,,,12400,13500,6800,6800
Albania,ALB,1979,,,,12600,14100,7000,7300
Albania,ALB,1980,,,,12600,14400,7000,7800
Albania,ALB,1981,,,,12600,14500,8800,8250
Albania,ALB,1982,,,,11900,14500,8800,8800
Albania,ALB,1983,,,,11400,14900,9200,7900
Albania,ALB,1984,,,,9900,14600,9600,7500
Albania,ALB,1985,,,,9800,16500,10400,6000
Albania,ALB,1986,,,,9000,15400,11200,6000
Albania,ALB,1987,,,,9600,16500,11200,6000
Albania,ALB,1988,,,,10900,18700,12000,6000
Albania,ALB,1989,,,,12000,19800,12000,6750
Albania,ALB,1990,,,,12000,22000,13300,6700
Albania,ALB,1991,,,,12500,21100,9000,6300
Albania,ALB,1992,,,,14800,23400,10600,2500
Albania,ALB,1993,,,,15200,24300,12500,3300
Albania,ALB,1994,,,,18500,28300,13550,3700
Albania,ALB,1995,,,,18300,30800,13600,3900
Albania,ALB,1996,,,,16600,32600,6360,3500
Albania,ALB,1997,,,,15700,32500,6600,3700
Albania,ALB,1998,,,,16700,32000,6500,5100
Albania,ALB,1999,,,,18100,33700,6200,5000
Albania,ALB,2000,,,,19500,35900,7800,4000
Albania,ALB,2001,,,,19463.93,35300,7800,4000
Albania,ALB,2002,,,,19500,37600,8600,6000
Albania,ALB,2003,,,,19500,40000,8600,8000
Albania,ALB,2004,,,,21400,39600,10100,9000
Albania,ALB,2005,,,,20900,40800,11300,9000
Albania,ALB,2006,,,,20990,48651,11250,10000
Albania,ALB,2007,,,,27400,49775,12500,13000
Albania,ALB,2008,,,,20700,39600,12500,16000
Albania,ALB,2009,,,,21600,39000,12500,17000
Albania,ALB,2010,,,,21000,40800,12500,17000
Albania,ALB,2011,,,,21800,41200,13100,17100
Albania,ALB,2012,,,,23040,41460,13260,16000
Albania,ALB,2013,,,,23280,41820,13494,17000
Albania,ALB,2014,,,,24751,38070,11900,12775
Albania,ALB,2015,,,,26251,38556,11424,14065
Albania,ALB,2016,,,,26300,38880,11424,14257.07
Albania,ALB,2017,,,,26235,39017,11561,14414.11
Albania,ALB,2018,,,,31434.18,38543.94,10316.72,17076.01
Algeria,DZA,1961,,660,1950,39900,23000,40,14290
Algeria,DZA,1962,,660,1950,37900,21000,40,15610
Algeria,DZA,1963,,520,1950,34213,19301,40,16620
Algeria,DZA,1964,,600,2080,37735,20600,80,18250
Algeria,DZA,1965,,780,1950,39444,23500,92,20090
Algeria,DZA,1966,,600,2080,38035,25300,36,21720
Algeria,DZA,1967,,660,1950,37700,28200,40,23168
Algeria,DZA,1968,,540,1950,44895,32400,49.76,24670
Algeria,DZA,1969,,660,1950,46743,33700,74.68,25990
Algeria,DZA,1970,,688,2080,50000,29800,80,27210
Algeria,DZA,1971,,655,1009,51260,37695,80,28650
Algeria,DZA,1972,,937,1205,52654,41938,80,30150
Algeria,DZA,1973,,1372,1426,55424,43877,82,32150
Algeria,DZA,1974,,1143,1124,53504,47710,80,34150
Algeria,DZA,1975,,1005,1952,54940,46020,80,36150
Algeria,DZA,1976,,1000,1200,58280,47000,80,38150
Algeria,DZA,1977,,1781,1414,60060,49820,80,40150
Algeria,DZA,1978,,1542,1100,63513,44482,82,42150
Algeria,DZA,1979,,1902,1350,70062,44800,82,44150
Algeria,DZA,1980,,1950,1350,71433,44800,84,60150
Algeria,DZA,1981,,1950,1400,74733,43700,88,72150
Algeria,DZA,1982,,1800,1500,84845,48000,88,88150
Algeria,DZA,1983,,1950,1170,81070,65600,88,100165
Algeria,DZA,1984,,1040,1248,88550,47500,92,150220
Algeria,DZA,1985,,1105,1400,86140,66800,96,160220
Algeria,DZA,1986,,728,1500,88148,66360,100,170230
Algeria,DZA,1987,,767,1600,115243,73552,100,172230
Algeria,DZA,1988,,780,1700,119082,81000,104,182240
Algeria,DZA,1989,,780,1800,137173,85000,108,186250
Algeria,DZA,1990,,737,2000,142405,89500,112,194260
Algeria,DZA,1991,,755,2000,152230,94270,116,197275
Algeria,DZA,1992,,757,2000,163750,96500,120,199284.31
Algeria,DZA,1993,,700,2000,177600,98200,120,204284.33
Algeria,DZA,1994,,650,2000,178100,100600,128,210354.19
Algeria,DZA,1995,,611,2234,178450,100600,128,208364.17
Algeria,DZA,1996,,585,2100,190000,99000,128,215324.28
Algeria,DZA,1997,,520,2150,178860,102000,128,220330
Algeria,DZA,1998,,455,2200,179160,103000,128,245345.78
Algeria,DZA,1999,,455,3100,175475,116980,128,232355.83
Algeria,DZA,2000,,429,3900,176350,132600,128,240365.7
Algeria,DZA,2001,,429,3600,177350,105000,128,236379.6
Algeria,DZA,2002,,429,3600,177250,116000,128,243380
Algeria,DZA,2003,,438.75,3600,177350,121000,128,253388.81
Algeria,DZA,2004,,411.45,3900,185100,125000,128,253388.22
Algeria,DZA,2005,,393.64,3900,191283,120000,128,253387.61
Algeria,DZA,2006,,402.09,4200,198890,122000,120,253380
Algeria,DZA,2007,,416,4200,201200,123000,124,254387.05
Algeria,DZA,2008,,403,4500,192600,125000,128,254387.06
Algeria,DZA,2009,,390,4500,212200,130500,128,254386.89
Algeria,DZA,2010,,365,4800,221418,126126,124,252442.12
Algeria,DZA,2011,,345,5190,270204,125386,116,258469.81
Algeria,DZA,2012,,360,5400,278698,135674,120,262480.97
Algeria,DZA,2013,,340,5550,298463,139948,120,267497.72
Algeria,DZA,2014,,315.9,5519.64,314042.88,145724,116.69,257236.97
Algeria,DZA,2015,,316.38,5564.77,323207.28,155037,116.01,259192.48
Algeria,DZA,2016,,319.27,5794.62,340428.4,164268,116.65,261913.34
Algeria,DZA,2017,,324.95,5818.36,343904.2,166291.23,116.65,260460.86
Algeria,DZA,2018,,315.74,6400.24,343439.03,153192,110.43,262375.16
Algeria,DZA,2019,,333.72,6450.67,347613.44,151590,108.19,258408.8
Algeria,DZA,2020,,315.83,6741.72,353362.6,144246,106.23,258305.9
Algeria,DZA,2021,,323.14,6960.52,361224.25,146270,104.25,258161.03
Americas (FAO),,1961,247000,152074,,817658,13485019,7238478,4095356
Americas (FAO),,1962,233000,157679,,811757,13820643,7462384,4065216
Americas (FAO),,1963,247000,176610,,772291,14653180,7720045,4289600
Americas (FAO),,1964,247800,210253,,733549,15304946,7810512,4502266
Americas (FAO),,1965,248500,203646,,743975,15514525,7246223,4873467
Americas (FAO),,1966,252024,195768,,777534,16151518,7447080,5290381
Americas (FAO),,1967,254525,202616,,772166,16610739,8129427,5544942
Americas (FAO),,1968,256744,215115,,780367,17358916,8365961,5507928
Americas (FAO),,1969,271927,220629,,735766,17922808,8342002,5853031
Americas (FAO),,1970,276674,222355,,746787,17974756,8780785,6337133
Americas (FAO),,1971,267213,214995,,740498,17365224,9588766,6419508
Americas (FAO),,1972,288800,224517,,685187,18004852,9060337,6780269
Americas (FAO),,1973,274500,248072,,648609,17440228,8726453,6874274
Americas (FAO),,1974,280850,214840,,617260,18367468,9298151,7084135
Americas (FAO),,1975,276200,231797,,602452,19666232,8301287,6966854
Americas (FAO),,1976,272500,257503,,583305,21544496,8857736,7726254
Americas (FAO),,1977,273800,253208,,570294,21406520,9418771,7980879
Americas (FAO),,1978,273000,266451,,537543,21196152,9649935,8517296
Americas (FAO),,1979,275100,266667,,529544,19552676,10918402,9510322
Americas (FAO),,1980,266520,235356,,519763,19804448,11749227,10206412
Americas (FAO),,1981,267810,229381,,551205,20628388,11463034,10907784
Americas (FAO),,1982,265500,210716,,564853,20366128,10654923,11167868
Americas (FAO),,1983,264830,196677,,568038,20931752,11270761,11352764
Americas (FAO),,1984,251120,210043,,559925,21190552,10964893,11533289
Americas (FAO),,1985,251220,208608,,559891,21720884,10897176,12193989
Americas (FAO),,1986,252220,211565,,570776,22572350,10343590,13031400
Americas (FAO),,1987,249053,234878,,559206,21685692,10661417,14285988
Americas (FAO),,1988,247997,253241,,582951,22186468,11396843,14884430
Americas (FAO),,1989,246000,264741,,598944,22293594,11218800,15461304
Americas (FAO),,1990,202344,268607,,617731,22487314,11011216,16749675
Americas (FAO),,1991,248005,268507.16,,626733.1,22505916,11479513,18079094
Americas (FAO),,1992,256407,265700.88,,610881.75,22627488,12272999,19294042
Americas (FAO),,1993,256622,245263.81,,609369.56,22840526,12540447,20600052
Americas (FAO),,1994,266998,220467.45,,615526.25,23358486,13161059,22062544
Americas (FAO),,1995,272958.7,218803.44,,597171.5,24561976,13478632,23741418
Americas (FAO),,1996,272037,216487.47,,541953.8,25600612,13174458,24562850
Americas (FAO),,1997,272822,220124.33,,537981.6,25745126,13404861,25790398
Americas (FAO),,1998,278595,214369.14,,527368.5,25485722,14719805,26869056
Americas (FAO),,1999,288378,227876.89,,534464.94,26503564,15184318,28876136
Americas (FAO),,2000,288728.2,233964.25,,544037.5,27114958,15237364,30162142
Americas (FAO),,2001,281835,250492.75,,575134.75,27122424,15571251,31419852
Americas (FAO),,2002,289533.06,244583.05,,527060.56,27306244,16158594,32810660
Americas (FAO),,2003,291649,248993.34,,524416.1,27924612,16551198,33673548
Americas (FAO),,2004,284384,223787.34,,512646.72,28894002,16959038,35610584
Americas (FAO),,2005,286054,233291.34,,523385.84,29324562,16865204,36174630
Americas (FAO),,2006,295647,232210.5,,532318,29892984,17218002,37194684
Americas (FAO),,2007,302054,230805.5,,531278.75,30988682,18029646,39023680
Americas (FAO),,2008,306328,235586.3,,534435.3,30940224,18837704,41275756
Americas (FAO),,2009,306621,227699.02,,528342.2,30988568,18720966,40486064
Americas (FAO),,2010,306543.44,224336.5,,544153.6,30237288,18547644,42350440
Americas (FAO),,2011,306520,222935.2,,536506.4,30151266,18947628,43885264
Americas (FAO),,2012,310742.2,209932.69,,527236.56,30530070,19320730,44167996
Americas (FAO),,2013,312734.2,198973.05,,531497.25,31055736,19301568,45254896
Americas (FAO),,2014,314342.03,198384.1,,529634.75,31000640,19366712,46459376
Americas (FAO),,2015,315845.03,193168.9,,518043.16,29783124,20538370,48146556
Americas (FAO),,2016,317397.2,191567.22,,517995.53,30358146,21102478,48938250
Americas (FAO),,2017,318726.84,191242.52,,520496.62,31464048,21634734,49956124
Americas (FAO),,2018,320353.22,194943.33,,534944.06,32406312,22323736,50660668
Americas (FAO),,2019,324063.62,193588.73,,554242.2,33030272,23299184,51947550
Americas (FAO),,2020,325316.97,192432.81,,562837.06,32820316,24097926,52381756
Americas (FAO),,2021,326723.6,202759.84,,570096.6,32974244,23916954,53640756
Angola,AGO,1961,4000,,,1659,19000,8000,3060
Angola,AGO,1962,4000,,,1699,20000,8000,3150
Angola,AGO,1963,4000,,,1724,21000,8000,3240
Angola,AGO,1964,5000,,,1832,24000,8000,3330
Angola,AGO,1965,5000,,,1929,26500,9000,3420
Angola,AGO,1966,5000,,,2025,28000,9000,3825
Angola,AGO,1967,6000,,,2132,31000,9000,4095
Angola,AGO,1968,6000,,,2272,32000,9000,4426
Angola,AGO,1969,6000,,,2367,36000,9000,4894
Angola,AGO,1970,6000,,,2479,41000,9000,5773
Angola,AGO,1971,6000,,,2645,43000,9500,6075
Angola,AGO,1972,6000,,,2881,43000,9800,6210
Angola,AGO,1973,6000,,,3032,44000,10350,6345
Angola,AGO,1974,6000,,,3183,44000,11000,6435
Angola,AGO,1975,6000,,,3325,52000,11500,6480
Angola,AGO,1976,6000,,,3465,44000,12250,6525
Angola,AGO,1977,6000,,,3605,45000,13000,6570
Angola,AGO,1978,6000,,,3745,46000,13750,6615
Angola,AGO,1979,6000,,,3885,47000,15750,6660
Angola,AGO,1980,6000,,,3935,48000,16500,6705
Angola,AGO,1981,6000,,,4030,50000,17000,6750
Angola,AGO,1982,6000,,,4125,51000,17750,6795
Angola,AGO,1983,6000,,,4175,52000,18500,6840
Angola,AGO,1984,6000,,,4270,53000,19250,6885
Angola,AGO,1985,6000,,,4320,54000,20000,6894
Angola,AGO,1986,6000,,,4379,57000,20600,6930
Angola,AGO,1987,6000,,,4465,57000,21000,6975
Angola,AGO,1988,6000,,,4605,57000,21150,7020
Angola,AGO,1989,6000,,,4735,58000,22000,7065
